name,price,status,shipping,free_returns,itemssold
Mid Century Modern Thonet Coffee Table,49999,,,False,0
Royere-Style Coffee Table,620000,,,False,0
Rare Lane Furniture Fluted Coffee Table And Matching Side Table,95000,Pre-Owned,,False,
vintage marble top coffee table,150000,Pre-Owned,,False,
Brass Coffee Table,20000,Brand New,9695,False,
1960's Vintage Carved Japanese Coffee Table,90000,Pre-Owned,450,False,
LANE 1961 MCM ACCLAIM COFFEE TABLE W/MATCHING END TABLES,82500,Pre-Owned,,True,
Antique Pine Coffee Table,50000,Pre-Owned,,False,
Antique Coffee Table & End Table pair...Absolutely Beautiful Victorian,215000,,,False,
New ListingRare Lane Altavista Coffee Table,35400,Pre-Owned,16551,False,
 Vintage Leon Rosen Glass/Brass Pace Side Table,75000,Pre-Owned,7500,False,
1980’s Post Modern Glass Top Coffee Table Tessellated ? Stucco On Wood Art Piece,25000,Pre-Owned,,False,
Willett Coffee Table Mid Century Modern Solid Cherry Wood !! ,45000,Pre-Owned,,False,0
Vintage Italian Metal Tray Coffee Table with Stand,18999,Brand New,800,False,
Antique Mahogany Leather Top Rolling Coffee Table ,9999,,4999,False,
Hollywood Regency Wheat Gold Gilt Coffee Table And Side Table,100000,Pre-Owned,,False,
Mid Century Modern Baker Brass Scalloped Glass Top Coffee Table bamboo base,42500,Pre-Owned,14900,False,
Neoclassical Coffee Giltwood Coffee Table with Marble type And Guilloche Molding,137500,Pre-Owned,23000,False,
ORNATE ANTIQUE CHINESE CARVED ORIENTAL COFFEE TABLE,95000,,,False,0
Rare Mid Century Danish Modern Surfboard coffee Table Lane Alta Vista No. 567211,15000,,,False,0
Vintage Lane Round Chippendale Chinoiserie Coffee Table,18797,,,False,0
Ethan Allen Hexagon Glass Top Coffee Table,59500,Pre-Owned,,False,
New ListingAntique French Marquetry Inlaid Inset Marble Top Bronze Mounted COFFEE TABLE,59500,Pre-Owned,,False,
Mid-Century Modern Walnut Coffee Table w/ Mosaic Tile Top Inlay,70000,Pre-Owned,8000,False,
Large Mid Century Modern Lane Acclaim Dovetail Top Round Coffee Table,32000,Pre-Owned,,False,0
Faux Bamboo Chinoiserie Tray Top Side or Coffee Table,79500,,,False,0
Vintage French 20th Century Marble Bronze Coffee Table Jansen Style,37400,Pre-Owned,0,False,0
Vintage Marble Coffee Table Fruit wood all original Italy Beautiful,45900,,,False,0
Tomlinson Modern Coffee Table Rare ,20000,,,False,
ANTIQUE LOUIS XVI FRENCH RECT COFFEE TABLE W/ BRASS GALLERY & MARBLE,29500,,,False,0
Vintage Hollywood Regency Mid Century Coffee Table Retro ￼ Onyx Abalone Shell￼,59000,Pre-Owned,,False,0
BAUMRITTER by Ethan Allen Heirloom Large Mid Century Coffee Table with Drawer ,22900,Pre-Owned,,False,
Ethan Allen French Country Glass Top Coffee Table ,35000,,,False,0
1960s Mid-Century Danish Modern Marble Top Coffee Table,35000,,,False,0
Vintage Mid Century Wood Laminate Boomerang Corner Coffee Table,27999,,6800,False,
Antique Brown Cherry Pennsylvania House Tea Table Coffee End Table ,18200,Pre-Owned,18874,False,
"Chippendale Style Mahogany, Glass Top Coffee Table",59500,,,False,
Antique Hollywood Regency 3 Piece Coffee Table Set 2 Tier,97500,,,False,
VINTAGE   SQUARE  PENNY   COFFEE   TABLE,19993,,,False,
BAKER Faux Bamboo Tortoise Shell Brass Glass Coffee Table Scalloped Edge Regency,110000,,,False,
Classical Style Glass Top Iron & Brass Coffee Table,42000,Pre-Owned,,False,0
Antique Primitive Cobblers Bench Coffee Table,49500,,,False,0
Early 20th Century Diminutive Louis XVI Style Carved Beechwood Low Coffee Table,90979,Pre-Owned,0,False,
Vintage Rare Peruvian Hand Tooled Leather Wooden Coffee Table With 4 Stools,120000,Pre-Owned,,False,
,,,,False,
Early 20th Century Chinese Chinoiserie Chic Hand Painted Coffee Low Table,126000,,18000,False,
Vintage Victorian Oak Tile Top Coffee Occasional Table w/ Wrought Iron Legs,50000,Pre-Owned,8000,False,
MAGNIFICENT ICONIC 80's SIGNED ANNE HERBST HAND CRAFTED SCULPTURED COFFEE TABLE,140000,Pre-Owned,,False,0
Antique Chinoiserie Green Lacquer Panel Glass Coffee Table Gilded Floral Bird,178500,,0,False,
New Listing00001 Antique Mahogany 3 Piece Coffee Table Set  End Tables,57500,Pre-Owned,,False,
"UNUSUAL ILLUMINATING COFFEE TABLE, HENRI FERNANDEZ c.1970",377046,,0,False,
Antique Quartered Oak Coffee Table Expandable Extension,52500,,15000,False,0
mid century teak wood slate coffee table,45000,Pre-Owned,4000,False,0
1920 Antique French Walnut & Marble top small coffee table / side table,65000,Refurbished,,False,
Baker Funiture Solid Brass Top Coffee Table,39999,Pre-Owned,,False,
Vtg Mid Century Modern Milo Baughman Style Circular Tubular 3 Tier Coffee Table,35000,Pre-Owned,,False,
VINTAGE ETHAN ALLEN BUTLER'S TRAY COFFEE TABLE,37500,Pre-Owned,,False,0
Antique French Floral Inlaid Carved Ornate French Louis XV Style Coffee Table ,80000,,,False,
STYLISH MID CENTURY HOLLYWOOD REGENCY BILLY HAINES ERA MARBLE TOP COFFEE TABLE,75000,Pre-Owned,,False,0
